Batoh{pocetPredmetov=217, aktualnaHmotnost=11986.0, hodnotaUF=27185.0}
Predmet{cena=130.0, vaha=57.0, koeficient=2.280701754385965}
Predmet{cena=135.0, vaha=59.0, koeficient=2.288135593220339}
Predmet{cena=110.0, vaha=48.0, koeficient=2.2916666666666665}
Predmet{cena=120.0, vaha=52.0, koeficient=2.3076923076923075}
Predmet{cena=150.0, vaha=65.0, koeficient=2.3076923076923075}
Predmet{cena=150.0, vaha=65.0, koeficient=2.3076923076923075}
Predmet{cena=100.0, vaha=43.0, koeficient=2.3255813953488373}
Predmet{cena=145.0, vaha=62.0, koeficient=2.338709677419355}
Predmet{cena=110.0, vaha=47.0, koeficient=2.3404255319148937}
Predmet{cena=150.0, vaha=64.0, koeficient=2.34375}
Predmet{cena=140.0, vaha=59.0, koeficient=2.3728813559322033}
Predmet{cena=95.0, vaha=40.0, koeficient=2.375}
Predmet{cena=100.0, vaha=42.0, koeficient=2.380952380952381}
Predmet{cena=120.0, vaha=50.0, koeficient=2.4}
Predmet{cena=130.0, vaha=54.0, koeficient=2.4074074074074074}
Predmet{cena=135.0, vaha=56.0, koeficient=2.4107142857142856}
Predmet{cena=145.0, vaha=60.0, koeficient=2.4166666666666665}
Predmet{cena=120.0, vaha=49.0, koeficient=2.4489795918367347}
Predmet{cena=130.0, vaha=53.0, koeficient=2.452830188679245}
Predmet{cena=135.0, vaha=55.0, koeficient=2.4545454545454546}
Predmet{cena=150.0, vaha=61.0, koeficient=2.459016393442623}
Predmet{cena=150.0, vaha=61.0, koeficient=2.459016393442623}
Predmet{cena=125.0, vaha=50.0, koeficient=2.5}
Predmet{cena=110.0, vaha=44.0, koeficient=2.5}
Predmet{cena=145.0, vaha=58.0, koeficient=2.5}
Predmet{cena=105.0, vaha=42.0, koeficient=2.5}
Predmet{cena=110.0, vaha=44.0, koeficient=2.5}
Predmet{cena=100.0, vaha=40.0, koeficient=2.5}
Predmet{cena=140.0, vaha=55.0, koeficient=2.5454545454545454}
Predmet{cena=140.0, vaha=55.0, koeficient=2.5454545454545454}
Predmet{cena=130.0, vaha=51.0, koeficient=2.549019607843137}
Predmet{cena=120.0, vaha=47.0, koeficient=2.5531914893617023}
Predmet{cena=115.0, vaha=45.0, koeficient=2.5555555555555554}
Predmet{cena=110.0, vaha=43.0, koeficient=2.558139534883721}
Predmet{cena=105.0, vaha=41.0, koeficient=2.5609756097560976}
Predmet{cena=105.0, vaha=41.0, koeficient=2.5609756097560976}
Predmet{cena=140.0, vaha=54.0, koeficient=2.5925925925925926}
Predmet{cena=140.0, vaha=54.0, koeficient=2.5925925925925926}
Predmet{cena=140.0, vaha=54.0, koeficient=2.5925925925925926}
Predmet{cena=125.0, vaha=48.0, koeficient=2.6041666666666665}
Predmet{cena=125.0, vaha=48.0, koeficient=2.6041666666666665}
Predmet{cena=115.0, vaha=44.0, koeficient=2.6136363636363638}
Predmet{cena=140.0, vaha=53.0, koeficient=2.641509433962264}
Predmet{cena=135.0, vaha=51.0, koeficient=2.6470588235294117}
Predmet{cena=130.0, vaha=49.0, koeficient=2.6530612244897958}
Predmet{cena=115.0, vaha=43.0, koeficient=2.6744186046511627}
Predmet{cena=115.0, vaha=43.0, koeficient=2.6744186046511627}
Predmet{cena=150.0, vaha=56.0, koeficient=2.6785714285714284}
Predmet{cena=150.0, vaha=56.0, koeficient=2.6785714285714284}
Predmet{cena=135.0, vaha=50.0, koeficient=2.7}
Predmet{cena=130.0, vaha=48.0, koeficient=2.7083333333333335}
